TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,MARR_STTS,FAMILY_MEMB,JOB_NM,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_RESIDENCE_CODE,TRAVEL_STATUS_DESTINATION_CODE
e006255,28,남,40,6,2,3,4,6,6.0,3,4,50,50130,42,42210,41,41820,4,인천광역시,서울,자녀 동반 여행,3,1.0,8.0,2,28,11
e003795,41,여,20,6,1,4,12,1,11.0,2,4,26,26260,28,28710,41,41360,4,경기도,서울,2인 여행(가족 외),4,2.0,7.0,1,41,11
e000438,48,남,40,5,2,4,3,6,9.0,2,1,26,26170,27,27290,48,48310,4,경상남도,서울,자녀 동반 여행,8,1.0,3.0,3,48,11
e008810,41,여,20,5,1,3,4,5,9.0,4,1,50,50130,42,42150,26,26350,7,경기도,경기,2인 여행(가족 외),5,1.0,3.0,1,41,41
e005793,41,여,40,7,1,2,2,5,5.0,3,6,11,11110,11,11140,50,50110,4,경기도,서울,2인 여행(가족 외),2,1.0,3.0,1,41,11
e002251,41,남,20,4,2,2,13,4,6.0,3,10,41,41820,41,41360,42,42110,7,경기도,경기,2인 가족 여행,7,2.0,5.0,1,41,41
e000651,11,여,60,6,2,4,3,3,9.0,1,1,50,50130,42,42210,41,41820,3,서울특별시,경기,자녀 동반 여행,1,7.0,2.0,3,11,41
e008957,28,남,20,5,1,4,5,3,10.0,1,1,41,41280,41,41210,11,11560,7,인천광역시,서울,2인 여행(가족 외),1,3.0,7.0,1,28,11
e006588,41,남,60,4,2,3,11,1,2.0,3,1,41,41110,41,41590,50,50110,6,경기도,경기,2인 가족 여행,1,6.0,2.0,1,41,41
e003915,11,남,20,6,2,2,4,4,7.0,3,5,50,50130,42,42230,42,42150,5,서울특별시,경기,2인 가족 여행,1,2.0,0.0,1,11,41
