TRAVEL_ID,TRAVEL_LENGTH,total_payment,visit_move_cnt,IS_FAILED_TRIP,total_payment_per_day,visit_move_cnt_per_day
a_a017927,2,-0.2794020145950005,5,0,-0.21950437399758685,2.5
a_a000567,3,0.5797904311441525,6,0,0.5681180271014202,2.0
a_a014834,2,-0.3507635134105448,6,0,-0.33266851208652465,3.0
a_a005290,2,-0.3907259527472496,3,0,-0.39604042941632983,1.5
a_a002513,2,0.13734913848777805,3,0,0.44137419244180986,1.5
a_a010341,3,-0.3793081129367625,1,0,-0.4458326501754625,0.3333333333333333
a_a006566,2,0.4855932527076341,7,0,0.9936151863158263,3.5
a_a004303,2,-0.4278339321313326,3,0,-0.4548857812225775,1.5
a_a018190,2,-0.28796539445286584,6,0,-0.2330840705682594,3.0
a_a015261,3,-0.11955225724818135,7,0,-0.17122100841297339,2.3333333333333335
a_a002064,3,0.6197528704808574,7,0,0.610365971987957,2.3333333333333335
a_a004042,3,0.21156509725594408,5,0,0.1788333920754742,1.6666666666666667
a_a017742,2,-0.42212501222608906,13,0,-0.4458326501754625,6.5
a_a017605,2,-0.3222189138843271,3,0,-0.2874028568509495,1.5
a_a005997,2,-0.4877775911363898,4,0,-0.5499436572172852,2.0
a_a005559,3,0.14305805839302158,9,0,0.10640834369855401,3.0
a_a007582,2,-0.4506696117523068,7,0,-0.49109830541103755,3.5
a_a004118,4,-0.11669779729555957,26,0,-0.27155987751849825,6.5
a_a000893,3,0.05171533990912491,5,0,0.009841612529327038,1.6666666666666667
a_a000507,3,0.4342129735604422,8,0,0.4142147993004648,2.6666666666666665
a_a018139,2,-0.38501703284200606,7,0,-0.3869872983692148,3.5
a_a007778,2,-0.2679841747845134,6,0,-0.2013981119033568,3.0
a_a009906,2,-0.2422940352109175,4,1,-0.1606590221913392,2.0
a_a004312,2,-0.3678902731262754,5,0,-0.3598279052278697,2.5
a_a001960,3,-0.32792783378957063,7,0,-0.3915138638927723,2.3333333333333335
a_a005096,2,-0.3593268932684101,10,0,-0.3462482086571972,5.0
a_a001731,3,-0.3050921541685965,5,0,-0.36737218110046554,1.6666666666666667
a_a009750,2,-0.2594207949266481,5,0,-0.18781841533268429,2.5
a_a013847,2,-0.3992893326051149,4,0,-0.40962012598700237,2.0
a_a003757,4,1.196353780910455,16,0,0.7695501928997295,4.0
a_a006537,2,-0.2908198544054876,6,0,-0.2376106360918169,3.0
a_a005538,2,-0.43354285203657617,5,0,-0.4639389122696925,2.5
a_a002497,2,1.8072082107715142,4,0,3.0894150237229545,2.0
a_a002600,3,0.5227012320917171,4,0,0.5077638201206534,1.3333333333333333
a_a002032,3,0.17731157782448284,7,0,0.14262086788701409,2.3333333333333335
